Price,Cup,Hero
761.201629,20709,53
234.215886,2600,36
1639.511202,37000,84
2634.928717,30000,83
292.769857,3935,38
1171.07943,16615,41
19296.891722,47000,79
6505.346232,37000,84
2927.698574,31696,79
4450.101833,37750,84
1756.619145,33038,83
175.661914,5608,39
23421.588595,68889,84
4684.317719,33317,78
3513.238289,24500,69
351.323829,2795,29
2927.698574,9146,53
2342.158859,5803,40
3513.238289,8319,46
351.323829,5018,32
351.323829,1908,25
234.215886,4172,28
7026.476578,24479,62
14052.953157,63453,83
585.539715,7000,37
995.417515,17149,54
324.995621,3168,27
1199.995723,6516,42
74.995927,1,2
4918.533605,35782,84
4998.986762,53400,81
2225.050916,28200,73
1405.295316,24648,64
2927.698574,37900,82
585.539715,5000,39
2342.158859,25138,65
5129.327902,54292,84
585.539715,13992,59
9954.175153,57000,85
585.539715,12600,36
585.539715,12000,37
585.539715,13100,53
644.093686,14300,50
936.863544,17100,40
936.863544,17000,59
1639.511202,22237,65
644.093686,14200,46
819.755601,33000,83
761.201629,25504,68
23420.417515,87000,85
1172.250509,18000,58
819.755601,31000,77
526.985743,10000,34
3513.238289,30000,76
3513.238289,30000,76
3513.238289,30000,76
3513.238289,30000,76
3513.238289,30000,76
3513.238289,30000,76
1756.619145,21419,69
889.368713,29442,58
5737.118126,36400,79
445.010183,11116,39
43329.9389,84000,84
43329.9389,84000,84
3513.238289,40000,81
456.720978,7803,29
152.240326,2285,35
500.00056,14001,43
285.743381,2800,18
2000.203666,26090,77
298.625255,2100,28
7996.130346,66000,84
585.539715,17500,50
351.323829,550,10
1522.403259,27500,62
3279.022403,41000,84
175.661914,600,15
234.215886,12,46
450.000153,20281,50
386.456212,1550,21
16980.651731,65000,85
12413.441955,70000,85
2107.942974,40200,82
1522.403259,25979,69
1598.523422,28529,69
1398.268839,25854,74
1598.523422,29086,72
1393.584521,29389,68
1397.09776,26848,69
1381.873727,28317,73
1498.98167,30122,76
1498.98167,26832,71
269.348269,3000,16
8197.556008,59000,85
1463.849287,28254,63
1604.378819,32233,61
2342.158859,33129,76
1405.295316,26353,75
90.173116,352,11
263.492872,2500,23
50.356415,500,11
64.409369,352,11
17.566191,150,5
644.093686,12026,58
1405.295316,237000,73
498.996945,18636,46
4098.778004,28697,76
936.863544,26000,62
526.985743,22747,53
234.215886,3667,35
117.107943,3508,29
4700.010183,37000,84
649.949084,14900,50
2342.158859,39474,84
4098.778004,33000,79
808.044807,29200,72
1171.07943,17739,59
1990.835031,29792,66
1756.619145,21571,56
526.985743,13954,53
585.539715,12885,49
1873.727088,25246,60
819.755601,17184,44
1756.619145,26187,70
1288.187373,14852,51
1288.187373,20000,53
468.431772,21069,58
1698.065173,5770,34
2400.712831,23500,74
2283.604888,28000,73
2517.820774,21000,73
2869.144603,27000,73
3864.562118,31600,81
3279.022403,38000,79
5269.857434,32000,82
3923.11609,30000,83
1522.403259,18000,62
2927.698574,24894,77
2810.590631,33200,74
2107.942974,23600,72
2459.266802,37000,74
2225.050916,25000,71
2342.158859,19300,70
3044.806517,26000,77
2693.482688,30000,76
1756.619145,23400,61
2576.374745,31400,71
2166.496945,26000,72
379.429735,16516,45
8899.032587,52200,85
9134.419552,60000,82
1756.619145,32200,74
2342.158859,28000,72
2342.158859,28000,72
2342.158859,28000,76
1405.295316,20500,70
3044.806517,34000,84
585.539715,6558,36
2107.942974,34000,81
936.863544,21000,65
1873.727088,30000,67
1932.281059,30000,76
5855.397149,36000,85
43915.478615,76000,85
40987.780041,82000,84
38060.081466,82000,84
995.417515,19780,58
468.431772,16889,44
117.107943,1686,13
409.8778,2100,27
117.107943,1007,18
433.299389,14500,49
292.769857,3348,26
351.323829,1115,18
1990.835031,34017,73
300.000102,6488,32
130.000356,1367,21
50.005092,1,2
40.001731,1,2
3747.454175,35218,65
468.431772,3042,26
1171.07943,15159,58
2634.928717,47300,79
878.309572,15232,55
5938.543788,41500,81
878.309572,21000,71
7612.016293,32491,80
117.107943,580,12
7026.476578,30000,70
468.431772,16100,53
2283.604888,44239,81
292.769857,2761,29
163.95112,572,20
936.863544,20004,44
234.215886,999,24
152.240326,607,19
117.107943,1551,21
292.769857,5792,36
175.661914,670,22
292.769857,4997,39
468.431772,10538,39
234.215886,1290,24
250.002037,9600,35
819.755601,14000,64
1405.295316,32000,78
2927.698574,39400,85
292.769857,9865,45
322.046843,9000,49
292.769857,10052,46
234.215886,10379,38
644.093686,14010,57
1089.10387,24333,72
5855.397149,37815,82
292.769857,711,21
409.8778,4675,37
204.9389,1188,32
995.417515,24500,63
140.529532,1355,17
234.215886,1008,13
210.794297,1947,26
234.215886,2721,30
257.637475,3623,28
140.529532,1010,14
140.529532,1564,22
515.274949,12353,44
608.961303,19405,51
679.226069,22185,60
761.201629,24868,66
737.780041,24767,59
18000.000255,44000,83
1299.898167,17643,51
351.323829,1000,36
1053.971487,29644,73
158.095723,2103,16
4098.778004,43000,82
23421.588595,86500,85
1639.511202,36050,77
1229.633401,25250,68
878.309572,25700,68
7612.016293,50000,85
187.372709,5875,28
635.263367,21980,65
571.73703,20829,56
1016.421387,30003,74
635.263367,24103,54
571.73703,19033,62
698.789703,24220,58
571.73703,16455,56
381.15802,10611,46
381.15802,12956,32
381.15802,13095,32
508.210693,18166,52
381.15802,17588,38
508.210693,14464,50
381.15802,13382,46
10.539715,1,1
381.15802,12903,44
381.15802,14026,50
381.15802,12602,48
571.73703,19693,34
635.263367,22123,61
698.789703,21163,58
508.210693,14054,46
254.105347,10322,43
508.210693,13541,42
381.15802,12020,39
508.210693,13670,47
444.684357,15050,51
444.684357,16982,42
3811.5802,43742,83
1053.971487,38761,79
794.180898,31295,58
23.421589,418,10
29.276986,627,18
29.276986,544,20
17.566191,418,9
1756.619145,22000,68
4459.002037,40563,74
1998.997454,32687,58
1658.997963,29334,56
1548.998473,26502,56
1479.003055,24035,56
1288.995418,22436,52
1139.003564,20586,53
999.001018,18356,41
879.000509,15500,41
698.999745,12258,39
488.995927,10354,35
368.995418,6766,30
258.995927,5,26
819.755601,33000,77
3396.130346,31860,82
1288.187373,20400,68
3630.346232,39000,83
128.818737,2191,28
105.397149,3599,34
64.409369,402,20
117.107943,1062,16
1169.90835,25260,76
3747.454175,30928,82
